,eff_recall vs baseline,eff_emc vs baseline,vif_recall vs baseline,vif_emc vs baseline,scan_length
47521,24.2951664940218,54.021740704809545,1.7736298449150074,1.8875329151546965,633.6211734923338
25411,24.229996723406188,54.049693989366645,1.7997894226723463,1.9163717831761689,633.7152826612787
44038,24.399985582244025,54.05816673218612,1.7825540917923572,1.905595930396787,632.8561099849071
78215,24.54806640465329,54.02067577067168,1.8000425522244643,1.921630851191652,633.4294870442527
44807,24.735677399816087,54.07434613385816,1.7704230851141205,1.895997516066066,633.6142749690085
10440,24.31129871572948,53.97677188303709,1.78967085921486,1.9063924185858447,633.7316735571799
23598,24.493727916550053,53.97709063788017,1.7846944202491966,1.899860865240597,632.8405847736999
21554,24.81266912911605,54.516787660518055,1.7335346488022394,1.8555290215622648,633.6014335070424
88179,24.35351154976185,54.00073592894934,1.7770956427099605,1.897543031330152,632.5347451097402
65395,24.351541452418417,54.11430948117748,1.797945240627839,1.91972213146796,633.240515587447
27762,24.424429391265694,54.6298142246044,1.7977432523317938,1.9034941625035624,633.6950801646555
70871,24.450435345253755,54.10285136252183,1.765351467463572,1.8832666545332688,633.034654879979
65691,24.36074405682691,53.97794274458382,1.7994035216076536,1.9246675054229256,633.4655300703862
9661,24.316619675153916,54.14796030197009,1.7835967752282946,1.8988580496443868,632.3634802764379
7902,24.30149323693541,54.11010712861627,1.7769989801432806,1.8915640457145575,633.0857611135359
