,eff_cue_a-cue_b,eff_stim_ay-stim_by,eff_stim_bx-stim_by,eff_all_cue,eff_all_stim,eff_all_cue_stim,vif_cue_a-cue_b,vif_stim_ay-stim_by,vif_stim_bx-stim_by,vif_all_cue,vif_all_stim,vif_all_cue_stim,scan_length,kao_measure,prob_runs_gte_2,run_num_diff_from_avg,prob_next_given_last1,prob_next_given_last2,sum_abs_diff_prob_next_given_last1,sum_abs_diff_prob_next_given_last2
37861,0.7897676035948045,1.5336046296157646,1.5742679095726115,0.461162950473064,1.7279140631023333,2.680511178275588,0.7643163707894933,0.9261035114865738,0.919431446574518,5.227147587688863,7.467235854449588,5.2369536035014415,949.665419135478,68.71999999999998,0.2389380530973451,16.001199999999994,0.4333333333333333,0.75,0.4072089211534232,8.386143595993385
2024,0.8122526931264583,1.50036007853461,1.7065067142987866,0.4593846668754262,1.6965698066468713,2.808070140546518,0.7596378720747545,0.9862331979305607,0.8540781329078457,5.385846832704833,7.796272498526771,5.208669814172756,945.2081781941064,60.48,0.2566371681415929,12.3198,0.4666666666666667,0.75,0.3897951824964397,8.218492417027434
71017,0.7905259928201579,1.571287879476642,1.7785846685389173,0.4566230916000182,1.6965942492250103,2.5329737734627304,0.7718492600884966,0.9632966428175934,0.8651557326966582,5.350519512861829,7.924767339512069,5.711592467693779,950.8325459866196,75.03999999999999,0.2523364485981308,14.013799999999996,0.4482758620689655,0.7142857142857143,0.4195055878201513,8.013628201798195
41869,0.8234444559568569,1.5601663197165263,1.6260782660698738,0.4519120460085582,1.6710315159018765,2.521739386314471,0.7497023877464706,0.9442647160408012,0.8993583700722092,5.488908775433191,7.866283551658301,5.677803629763403,950.1527866850132,69.51999999999998,0.2456140350877192,17.907800000000005,0.4666666666666667,0.6,0.8220993083282887,7.787065919635912
98511,0.8068718714268002,1.4757636862398358,1.6643301879261414,0.4510223751463977,1.775968574057594,2.6587828640424567,0.757049424434834,0.99908708737317,0.905741978112686,5.4241867521385,7.47174112347614,5.342310599599566,949.2751121109228,78.64,0.2252252252252252,20.2812,0.4666666666666667,0.6666666666666666,0.5028268905020872,7.710743209568194
5872,0.7969769745665816,1.5683875084022116,1.7424213625593632,0.4584423246828865,1.735553506632328,2.7196882002910634,0.7605517815175669,0.9447665219207692,0.8570321938893117,5.296937797538984,7.6120846117900385,5.27070292310019,950.4919263155,82.0,0.2307692307692307,20.239000000000004,0.4482758620689655,0.6666666666666666,0.6354533272836432,7.614667668442667
78998,0.8238088341147078,1.549485661278616,1.6636291368364895,0.4580502646285609,1.7057534207318696,2.620826903161814,0.7441509120786473,0.9517657577845906,0.8985085933448899,5.365901576721982,7.727664866996829,5.455091726909624,949.2279623788368,69.43999999999998,0.2432432432432432,18.674600000000005,0.4333333333333333,0.7,0.7830465557572241,8.123039210234207
71063,0.806083424437516,1.4859022432103632,1.615410750100167,0.4508169080993823,1.7358364853385626,2.699773773615226,0.7602822141030126,0.9783311490040134,0.9036578217961136,5.471950317785618,7.61198361710251,5.310074917084815,946.792341397766,62.47999999999999,0.3009708737864077,21.4098,0.45,0.5833333333333334,0.8316349062311028,7.640556761571757
65083,0.7945271487251403,1.4815615229543584,1.5952396365815655,0.4725094992780281,1.7071272301935887,2.621728354006001,0.7794614677642218,0.9922130270057709,0.9267048768097964,5.301072427068717,7.7553185786532755,5.534749782265655,948.235279868024,76.47999999999999,0.3142857142857143,17.145,0.4482758620689655,0.6666666666666666,0.4797306170599026,7.76361329559329
86366,0.8030375752908173,1.4915179296932497,1.613574701997294,0.4606169228462969,1.7366857168336771,2.668096863993139,0.7297565832658138,0.9925456421973926,0.9200776261333335,5.090170020738884,7.663344106682089,5.362063246357387,946.5028196580448,70.23999999999998,0.2522522522522522,16.565600000000003,0.4666666666666667,0.6666666666666666,0.6114501457032202,8.731625873015863
